address,name,category
0x647489df0673e17db3163c47d5233ebb6f5cac70,Synapse: Timelock,Bridge
0x1b84765de8b7566e4ceaf4d0fd3c5af52d3dde4f,Synapse: nUSD,Bridge
0x045e507925d2e05d114534d0810a1abd94aca8d6,Synthetix: L2 Bridge,Bridge
0xcd9d4988c0ae61887b075ba77f08cbfad2b65068,Synthetix: L2 Deposit,Bridge
0x5fd79d46eba7f351fe49bff9e87cdea6c821ef9f,Synthetix: L2 Deposit Escrow,Bridge
0xc145990e84155416144c532e31f89b840ca8c2ce,THORSwap: RouterV2,Bridge
0xde60adfddaabaaac3dafa57b26acc91cb63728c4,Tether USD (Wormhole),Bridge
0x566957ef80f9fd5526cd2bef8be67035c0b81130,USD Coin (PoS) (Wormhole),Bridge
0x41f7b8b9b897276b7aae926a9016935280b44e97,USD Coin (Wormhole),Bridge
0x7cd167b101d2808cfd2c45d17b2e7ea9f46b74b6,USD Coin (Wormhole),Bridge
0x1cdd2eab61112697626f7b4bb0e23da4febf7b7c,USDT (Wormhole),Bridge
0xa693b19d2931d498c5b318df961919bb4aee87a5,UST (Wormhole),Bridge
0x4103c267fba03a1df4fe84bc28092d629fa3f422,Umbria: Narni Bridge,Bridge
0x86ca49d37015a8541642b1b5a90af0115ec61994,Undead Blocks: Bridge,Bridge
0xf301d525da003e874df574bcdd309a6bf0535bb6,Voltage Finance: ERC-20 Tokens Bridge,Bridge
0x98f3c9e6e3face36baad05fe09d375ef1464288b,Wormhole: Ethereum Core Bridge,Bridge
0x3ee18b2214aff97000d974cf647e7c347e8fa585,Wormhole: Portal Token Bridge,Bridge
0xf92cd566ea4864356c5491c177a430c222d7e678,Wormhole: Solana Bridge,Bridge
0x85f138bfee4ef8e540890cfb48f620571d67eda3,Wrapped AVAX (Wormhole),Bridge
0x418d75f65a02b3d53b2418fb8e1fe493759c7605,Wrapped BNB (Wormhole),Bridge
0x7c9f4c87d911613fe9ca58b579f737911aad2d43,Wrapped Matic (Wormhole),Bridge
0x26b80fbfc01b71495f477d5237071242e0d959d7,Wrapped ROSE (Wormhole),Bridge
0xd31a59c85ae9d8edefec411d448f90841571b89c,Wrapped SOL (Wormhole),Bridge
0xc561586862e3129f660f6dfc24fd5dfe8dab3983,Wrapped WebDollar,Bridge
0x8eca806aecc86ce90da803b080ca4e3a9b8097ad,ZKSwap,Bridge
0x6de5bdc580f55bc9dacafcb67b91674040a247e3,ZKSwap: V2 Bridge,Bridge
0x5cdaf83e077dbac2692b5864ca18b61d67453be8,ZKSwap: ZKSpace Bridge,Bridge
0xe34b087bf3c99e664316a15b01e5295eb3512760,Zapper.Fi: Ethereum to Polygon Bridge,Bridge
0x104b9b1c41c6764e88edf1207f498902d840fe2a,Zeroswap: BSC Bridge,Bridge
0x0dd1f24cf4ff96f197a795d02d0ba1eb53448bcc,Zeroswap: Polygon Bridge,Bridge
0xd54f502e184b6b739d7d27a6410a67dc462d69c8,dYdX: L2 Perpetual Smart Contract,Bridge
0x43de2d77bf8027e25dbd179b491e8d64f38398aa,deBridgeGate,Bridge
0x3307c46a1e9633025d2e89658c7502a683585450,iSwap: Ethereum Bridge,Bridge
0x1722800c0f1bfdf916ef948ef7790a861e90d558,multiDAO,Bridge
0x31efc4aeaa7c39e54a33fdc3c46ee2bd70ae0a09,xPollinate: Transaction Manager,Bridge
0xabea9132b05a70803a4e85094fd0e1800777fbef,zkSync,Bridge
0xc9a2c4868f0f96faaa739b59934dc9cb304112ec,BGBP (BGBP),CEX
0xb8c77482e45f1f44de1745f52c74426c631bdd52,BNB (BNB),CEX
0xd4307e0acd12cf46fd6cf93bc264f5d5d1598792,"Base, Introduced",CEX
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance,CEX
0x85b931a32a0725be14285b66f1a22178c672d69b,Binance 10,CEX
0x708396f17127c42383e3b9014072679b2f60b82f,Binance 11,CEX
0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance 12,CEX
0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance 13,CEX
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,CEX
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,CEX
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,CEX
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance 17,CEX
0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance 18,CEX
0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,CEX
0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance 2,CEX
0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance 20,CEX
0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance 21,CEX
0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,Binance 22,CEX
0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance 23,CEX
